"","grps"
"SAIGE_459",216
"NEALE2_30130_raw",242
"NEALE2_1920",429
"NEALE2_20500",35
"NEALE2_6150_1",81
"NEALE2_4526",512
"NEALE2_20110_100",317
"GCST009762",63
"NEALE2_670_1",513
"FINNGEN_R6_E4_NUTRIDEF",136
"GCST90002389",460
"NEALE2_20154_raw",400
"NEALE2_2296",451
"GCST90038624",103
"FINNGEN_R6_PRIM_KNEEARTHROSIS",46
"FINNGEN_R6_KRA_PSY_SUBSTANCE",75
"NEALE2_5254_raw",412
"FINNGEN_R6_I9_IHD",81
"GCST004616",329
"GCST000755",24
"FINNGEN_R6_K11_INTESTOTH",30
"NEALE2_1438_raw",514
"NEALE2_20544_11",62
"NEALE2_20521",515
"GCST004607",403
"NEALE2_4728",516
"FINNGEN_R6_H7_GLAUCOMA",284
"NEALE2_1110",517
"GCST006099",518
"GCST90025990",519
"GCST004132",147
"GCST90016612",66
"NEALE2_5118_raw",282
"GCST009982",6
"GCST90012103",520
"FINNGEN_R6_M13_ARTHROSIS_KNEE_PRIM_ICD10",46
"GCST90002380",485
"FINNGEN_R6_M13_SCIATICA",30
"GCST90016598",521
"FINNGEN_R6_FG_HYPERTENSION",20
"NEALE2_1528",522
"GCST90002340",242
"NEALE2_2644",523
"FINNGEN_R6_DM_OTHER_WIDE",19
"GCST90016667",524
"NEALE2_2020",342
"NEALE2_2257",525
"NEALE2_2040",492
"GCST004605",258
"NEALE2_20441",35
"NEALE2_20460",526
"NEALE2_1970",356
"FINNGEN_R6_T2D",19
"NEALE2_1697",243
"NEALE2_20491",527
"GCST004133",13
"NEALE2_6138_5",528
"FINNGEN_R6_E4_OBESITY",136
"FINNGEN_R6_H7_LENS",208
"NEALE2_20505",529
"GCST90038650",104
"NEALE2_3147_raw",42
"SAIGE_574_1",414
"NEALE2_22620_1",530
"GCST90016600",531
"FINNGEN_R6_E4_ENDONUTRMET",504
"GCST90002404",74
"GCST90002395",373
"GCST009722",100
"GCST90025992",532
"GCST90038691",103
"GCST90025994",136
"GCST90025960",373
"NEALE2_1458",533
"NEALE2_1160",107
"SAIGE_411_8",81
"NEALE2_1239",59
"GCST004608",115
"NEALE2_1538_0",534
"GCST90038633",19
"GCST90002386",237
"NEALE2_1687",325
"FINNGEN_R6_M13_SPONDYLOPATHY",124
"FINNGEN_R6_I9_MI",81
"GCST004599",373
"GCST005061",85
"GCST000759",123
"NEALE2_23109_raw",416
"NEALE2_49_raw",28
"FINNGEN_R6_M13_DORSOPATHY",30
"NEALE2_1379",535
"SAIGE_558",536
"NEALE2_1150_2",434
"NEALE2_6143_2",537
"NEALE2_6159_1",538
"NEALE2_1021",539
"GCST006288",42
"NEALE2_20002_1111",247
"NEALE2_30100_raw",373
"NEALE2_1418_4",540
"GCST90012115",84
"FINNGEN_R6_HYPOTHY_LEVOTHY",212
"GCST011494",129
"NEALE2_3062_raw",164
"GCST90013791",360
"NEALE2_20110_1",81
"NEALE2_6152_100",97
"GCST003766",541
"NEALE2_1428_3",542
"GCST006945",214
"GCST90025996",543
"SAIGE_726_1",396
"NEALE2_94_raw",544
"NEALE2_20160",275
"NEALE2_5699",326
"GCST90000292",17
"GCST005812",46
"NEALE2_5256_raw",218
"FINNGEN_R6_I9_ISCHHEART",81
"NEALE2_6145_100",545
"GCST004604",5
"GCST006947",227
"FINNGEN_R6_K11_DIVERTIC",408
"GCST90060509",546
"NEALE2_20507",304
"GCST90020053",547
"FINNGEN_R6_M13_INTERVERTEB",193
"NEALE2_1389",548
"NEALE2_1508_2",549
"GCST004634",506
"NEALE2_2267",550
"NEALE2_6179_1",426
"GCST90025995",551
"NEALE2_2395_1",295
"SAIGE_244",212
"NEALE2_20110_12",413
"NEALE2_20002_1458",408
"GCST006697",354
"NEALE2_23100_raw",28
"NEALE2_2335",552
"GCST004617",139
"NEALE2_981",553
"NEALE2_3476",554
"NEALE2_4559",555
"SAIGE_735_2",556
"GCST90000059",133
"NEALE2_4124_raw",42
"NEALE2_2443",19
"NEALE2_4100_raw",49
"NEALE2_6145_6",557
"GCST005038",97
"GCST90038640",100
"GCST004075",558
"GCST90025984",126
"NEALE2_5096_raw",2
"NEALE2_20107_3",559
"FINNGEN_R6_FG_CEREBVASC",20
"GCST004609",115
"NEALE2_30000_raw",255
"GCST006702",354
"GCST90000515",169
"GCST90002292",3
"FINNGEN_R6_R18_PAIN_THROAT_CHEST",30
"FINNGEN_R6_J10_ASTHMA_MAIN",90
"GCST90038637",212
"GCST004770",560
"NEALE2_20111_8",355
"GCST006572",112
"GCST005069",95
"NEALE2_2744",222
"GCST006980",561
"SAIGE_594",148
"SAIGE_411",81
"NEALE2_5133_raw",2
"FINNGEN_R6_ASTHMA_INFECTIONS",90
"NEALE2_22609_2",376
"GCST90002407",255
"GCST007090",46
"GCST004625",242
"FINNGEN_R6_RHEUMA_ENDPOINTS",46
"SAIGE_562_1",408
"FINNGEN_R6_PAIN",30
"FINNGEN_R6_RX_PARACETAMOL_NSAID",30
"FINNGEN_R6_O15_ABORT_MEDICAL",204
"FINNGEN_R6_JOINTPAIN",30
"NEALE2_1339",562
"NEALE2_30030_raw",5
"GCST90038598",563
"GCST004137",558
"NEALE2_2139_raw",335
"NEALE2_6155_3",564
"GCST006488",565
"NEALE2_20520",447
"NEALE2_5983_raw",566
"FINNGEN_R6_J10_ASTHMA",90
"GCST005067",85
"NEALE2_6143_3",170
"GCST90014292",567
"FINNGEN_R6_I9_OTHHEART",99
"NEALE2_20002_1065",22
"NEALE2_5001",568
"GCST004940",95
"NEALE2_23124_raw",28
"GCST004615",5
"NEALE2_20003_1140861998",247
"NEALE2_6155_7",569
"FINNGEN_R6_I9_HYPTENS",22
"NEALE2_5103_raw",269
"GCST006700",292
"FINNGEN_R6_G6_EPIPAROX",30
"FINNGEN_R6_M13_LOWBACKPAIN",30
"NEALE2_20416",318
"NEALE2_20126_0",18
"GCST90025968",476
"NEALE2_23121_raw",58
"GCST90002390",45
"FINNGEN_R6_F5_NEUROTIC",67
"GCST90016606",570
"NEALE2_5257_raw",8
"NEALE2_20458",512
"FINNGEN_R6_KRA_PSY_SUBSTANCE_EXMORE",75
"NEALE2_4104_raw",42
"NEALE2_6177_100",22
"GCST90002357",211
"GCST90038646",234
"NEALE2_6164_1",571
"NEALE2_30250_raw",310
"NEALE2_1150_3",572
"GCST90012877",573
"NEALE2_4825",376
"GCST006097",369
"NEALE2_6155_100",569
"NEALE2_137",324
"NEALE2_20116_1",275
