Trait	Total Observed scale h2	h2_se	Lambda GC	Mean Chi^2	Intercept	int_se	Ratio	Z_h2
NEALE2_20507.results	0.0349	0.0043	1.0833	1.0879	1.0076	0.0061	 0.0865 (0.069)	8.11627907
SAIGE_594_1.results	0.0089	0.0011	1.0557	1.0716	1.002	0.006	 0.0275 (0.084)	8.090909091
FINNGEN_R6_E4_OBESITYCAL.results	0.0186	0.0023	1.1428	1.1569	1.0622	0.0077	 0.3962 (0.0491)	8.086956522
SAIGE_317.results	0.0105	0.0013	1.0802	1.0945	1.0147	0.0065	 0.1552 (0.0688)	8.076923077
SAIGE_530_11.results	0.0113	0.0014	1.1019	1.1038	1.0182	0.0068	 0.1755 (0.0653)	8.071428571
GCST90016667.results	0.2268	0.0281	1.1459	1.1873	1.0359	0.0083	 0.1918 (0.0443)	8.071174377
SAIGE_558.results	0.0129	0.0016	1.0772	1.0937	1.0053	0.0062	 0.0563 (0.0661)	8.0625
NEALE2_20550_1.results	0.0395	0.0049	1.0679	1.0711	0.9938	0.0067		8.06122449
NEALE2_1418_1.results	0.0145	0.0018	1.1082	1.1157	1.0126	0.0077	 0.1092 (0.0662)	8.055555556
GCST004631.results	0.0579	0.0072	1.0895	1.193	0.9966	0.0091		8.041666667
FINNGEN_R6_I9_CVD.parquet.results	0.0233	0.0029	1.2103	1.2467	1.1274	0.0096	 0.5165 (0.039)	8.034482759
FINNGEN_R6_I9_CVD.results	0.0233	0.0029	1.2103	1.2467	1.1274	0.0096	 0.5165 (0.039)	8.034482759
FINNGEN_R6_KRA_PSY_SUBSTANCE_EXMORE.results	0.0249	0.0031	1.1459	1.1724	1.0661	0.0089	 0.383 (0.0518)	8.032258065
GCST90007528.results	0.0337	0.0042	1.0988	1.1008	1.0198	0.0067	 0.196 (0.0663)	8.023809524
GCST90016625.results	0.3951	0.0493	1.0957	1.1285	1.0019	0.009	 0.0148 (0.0701)	8.014198783
NEALE2_20003_1140923346.results	0.0112	0.0014	1.0895	1.0892	1.0083	0.0066	 0.0926 (0.0734)	8
NEALE2_20520.results	0.0415	0.0052	1.0957	1.1039	1.0049	0.0071	 0.0474 (0.0684)	7.980769231
NEALE2_6148_2.results	0.0415	0.0052	1.0833	1.1112	1.0129	0.0074	 0.1163 (0.0661)	7.980769231
NEALE2_2395_2.results	0.0526	0.0066	1.1144	1.2061	1.0375	0.0087	 0.1818 (0.0422)	7.96969697
NEALE2_22607_1.results	0.0462	0.0058	1.0833	1.0871	1.0051	0.007	 0.0584 (0.0802)	7.965517241
FINNGEN_R6_ALCOHOLMENTAL.results	0.0191	0.0024	1.1333	1.1553	1.0568	0.0097	 0.3659 (0.0622)	7.958333333
SAIGE_574_1.results	0.0159	0.002	1.1175	1.1507	1.0234	0.0078	 0.1554 (0.0517)	7.95
NEALE2_20003_1141146234.results	0.0143	0.0018	1.0864	1.1203	1.0198	0.007	 0.1646 (0.0582)	7.944444444
FINNGEN_R6_M13_ARTHROSIS_OTH.results	0.023	0.0029	1.1207	1.131	1.0459	0.0073	 0.3505 (0.0555)	7.931034483
SAIGE_728_71.results	0.0206	0.0026	1.0618	1.139	0.9886	0.0082		7.923076923
GCST90012114.results	0.086	0.0109	1.3685	1.8063	1.0794	0.0129	 0.0984 (0.0161)	7.889908257
NEALE2_20107_100.results	0.0142	0.0018	1.0988	1.1097	1.0205	0.0066	 0.1866 (0.0604)	7.888888889
NEALE2_20107_3.results	0.0142	0.0018	1.0772	1.0807	0.9915	0.0068		7.888888889
FINNGEN_R6_K11_GIDISEASES.results	0.0213	0.0027	1.1747	1.1894	1.0774	0.0086	 0.4088 (0.0454)	7.888888889
NEALE2_1269.results	0.0118	0.0015	1.0679	1.0704	0.995	0.0064		7.866666667
SAIGE_599_4.results	0.0118	0.0015	1.0926	1.0959	1.0029	0.007	 0.0305 (0.0731)	7.866666667
NEALE2_2724.results	0.0385	0.0049	1.0802	1.1339	1.0073	0.009	 0.0545 (0.067)	7.857142857
NEALE2_20107_6.results	0.0141	0.0018	1.0864	1.0968	1.0101	0.0066	 0.1047 (0.0677)	7.833333333
GCST002221.results	0.1848	0.0236	1.0255	1.2365	0.8951	0.0103		7.830508475
NEALE2_1150_1.results	0.0219	0.0028	1.1207	1.1461	1.0098	0.0088	 0.0672 (0.06)	7.821428571
NEALE2_5983_raw.results	0.0867	0.0111	1.0895	1.1095	1.0188	0.0078	 0.1716 (0.071)	7.810810811
GCST000759.results	0.1195	0.0153	1.0135	1.1216	0.9041	0.0077		7.810457516
NEALE2_20003_1140864752.results	0.0117	0.0015	1.0895	1.0926	1.0103	0.0072	 0.1111 (0.0773)	7.8
GCST90025962.results	0.5049	0.0648	1.7648	4.8702	1.2645	0.0368	 0.0683 (0.0095)	7.791666667
NEALE2_20516.results	0.0335	0.0043	1.0772	1.0782	0.9983	0.0068		7.790697674
FINNGEN_R6_F5_MOOD.results	0.0218	0.0028	1.1779	1.1897	1.0733	0.0085	 0.3863 (0.0449)	7.785714286
NEALE2_1011.results	0.0218	0.0028	1.0772	1.0808	1.0034	0.0063	 0.0425 (0.0782)	7.785714286
FINNGEN_R6_T2D_WIDE.results	0.0264	0.0034	1.2168	1.2808	1.1527	0.0126	 0.5438 (0.045)	7.764705882
NEALE2_777.results	0.0194	0.0025	1.0833	1.0935	1.0174	0.0062	 0.1861 (0.0667)	7.76
FINNGEN_R6_G6_CARPTU.results	0.0225	0.0029	1.1747	1.2075	1.0974	0.0087	 0.4693 (0.0419)	7.75862069
FINNGEN_R6_KRA_PSY_MOOD.results	0.0217	0.0028	1.1779	1.1893	1.0735	0.0085	 0.3881 (0.0449)	7.75
FINNGEN_R6_O15_ABORT_MEDICAL.results	0.0341	0.0044	1.1113	1.1301	1.0428	0.0081	 0.3291 (0.062)	7.75
GCST90038607.results	0.0124	0.0016	1.0957	1.1115	0.9947	0.0066		7.75
GCST005814.results	0.0889	0.0115	1.0833	1.096	1.0062	0.0071	 0.0646 (0.0735)	7.730434783
NEALE2_20549_3.results	0.0394	0.0051	1.0802	1.0832	1.0063	0.0069	 0.0759 (0.0829)	7.725490196
GCST90000293.results	0.2168	0.0281	1.0679	1.0819	1.0049	0.0063	 0.0597 (0.0772)	7.715302491
FINNGEN_R6_M13_SHOULDER.results	0.0216	0.0028	1.1523	1.1728	1.0761	0.0082	 0.4404 (0.0472)	7.714285714
NEALE2_3799.results	0.0555	0.0072	1.0741	1.0807	1.0048	0.0065	 0.0594 (0.0805)	7.708333333
GCST90025971.results	0.2451	0.0318	1.5585	2.8246	1.118	0.0291	 0.0647 (0.016)	7.70754717
FINNGEN_R6_KRA_PSY_ANXIETY_EXMORE.results	0.0238	0.0031	1.1587	1.1679	1.0611	0.0093	 0.3639 (0.0554)	7.677419355
GCST000755.results	0.132	0.0172	1.0165	1.1354	0.8833	0.0091		7.674418605
FINNGEN_R6_FG_DISVEINLYMPH.results	0.0391	0.0051	1.1843	1.2312	1.0994	0.0104	 0.4301 (0.045)	7.666666667
GCST006810.results	0.0552	0.0072	1.4281	1.5308	1.0349	0.0267	 0.0658 (0.0503)	7.666666667
NEALE2_2415.results	0.0253	0.0033	1.0833	1.0921	1.0093	0.0068	 0.1008 (0.0741)	7.666666667
FINNGEN_R6_M13_ARTHROSIS_KNEE_PRIM_ICD10.results	0.0252	0.0033	1.2201	1.2575	1.1217	0.0106	 0.4724 (0.0412)	7.636363636
GCST90038679.results	0.0099	0.0013	1.0957	1.1086	1.0163	0.0073	 0.1496 (0.0669)	7.615384615
GCST006414.results	0.0251	0.0033	1.3068	1.547	1.0562	0.0114	 0.1027 (0.0209)	7.606060606
GCST005180.results	0.0934	0.0123	1.071	1.0624	0.9959	0.0061		7.593495935
NEALE2_20002_1277.results	0.0121	0.0016	1.0741	1.098	1.0115	0.0071	 0.1172 (0.0726)	7.5625
NEALE2_6179_3.results	0.0121	0.0016	1.0741	1.0815	0.9966	0.0063		7.5625
NEALE2_709.results	0.0121	0.0016	1.0926	1.1033	1.0192	0.0061	 0.1861 (0.0586)	7.5625
NEALE2_1150_3.results	0.0136	0.0018	1.0833	1.0858	1.0044	0.0069	 0.0509 (0.0809)	7.555555556
GCST006862.results	0.0543	0.0072	1.1491	1.1941	1.0562	0.0089	 0.2893 (0.046)	7.541666667
SAIGE_721.results	0.0098	0.0013	1.0926	1.0877	1.0091	0.0065	 0.1032 (0.0742)	7.538461538
SAIGE_735_2.results	0.0098	0.0013	1.0618	1.068	0.9901	0.0066		7.538461538
FINNGEN_R6_M13_HALLUXVALGUS.results	0.0309	0.0041	1.1523	1.1773	1.0616	0.0093	 0.3476 (0.0523)	7.536585366
NEALE2_94_raw.results	0.113	0.015	1.071	1.0766	1.0066	0.0059	 0.0858 (0.0774)	7.533333333
NEALE2_1448_2.results	0.0113	0.0015	1.0741	1.0786	0.9996	0.0067		7.533333333
NEALE2_20003_1141176832.results	0.0113	0.0015	1.0588	1.0716	0.9914	0.0067		7.533333333
NEALE2_4537.results	0.0467	0.0062	1.0679	1.0718	0.997	0.0063		7.532258065
FINNGEN_R6_HYPOTHYROIDISM.results	0.0752	0.01	1.1523	1.2122	1.0633	0.0104	 0.2985 (0.0491)	7.52
SAIGE_427_2.results	0.0263	0.0035	1.1364	1.2157	1.0153	0.0088	 0.0709 (0.041)	7.514285714
GCST90025948.results	0.1667	0.0222	1.4926	2.1083	1.0964	0.0165	 0.0869 (0.0149)	7.509009009
NEALE2_22127.results	0.0623	0.0083	1.0833	1.1182	1.0052	0.007	 0.0442 (0.0592)	7.506024096
FINNGEN_R6_M13_ARTHROSIS_KNEE_PRIM_KNEESURG.results	0.021	0.0028	1.1587	1.1828	1.0777	0.009	 0.4249 (0.0493)	7.5
FINNGEN_R6_AUD.results	0.018	0.0024	1.127	1.1482	1.0552	0.0092	 0.3724 (0.0624)	7.5
FINNGEN_R6_RX_CODEINE_TRAMADOL.results	0.0195	0.0026	1.194	1.2137	1.1106	0.0085	 0.5175 (0.04)	7.5
GCST009980.results	0.1371	0.0183	1.0527	1.054	0.9899	0.0063		7.491803279
SAIGE_728_7.results	0.0187	0.0025	1.0557	1.1299	0.9931	0.008		7.48
NEALE2_3591.results	0.0239	0.0032	1.0802	1.0881	1.0058	0.0074	 0.0662 (0.0835)	7.46875
NEALE2_2966_raw.results	0.0515	0.0069	1.0895	1.1008	1.0129	0.007	 0.1276 (0.0692)	7.463768116
SAIGE_722.results	0.0097	0.0013	1.0772	1.0925	1.0161	0.0064	 0.1745 (0.0694)	7.461538462
NEALE2_5107_raw.results	0.047	0.0063	1.0741	1.085	1.0159	0.0059	 0.1873 (0.0699)	7.46031746
NEALE2_20536_0.results	0.0611	0.0082	1.0496	1.055	0.9866	0.0064		7.451219512
NEALE2_1140.results	0.0119	0.0016	1.0741	1.0713	1.0019	0.0058	 0.0267 (0.0815)	7.4375
NEALE2_20508.results	0.0386	0.0052	1.0802	1.0884	0.9974	0.0078		7.423076923
NEALE2_4282.results	0.119	0.0161	1.0957	1.103	1.0175	0.0075	 0.1703 (0.0726)	7.391304348
FINNGEN_R6_HYPOTHY_LEVOTHY.results	0.0746	0.0101	1.1459	1.2075	1.0598	0.0103	 0.2883 (0.0497)	7.386138614
FINNGEN_R6_HYPOTHY_PURCHASE.results	0.0746	0.0101	1.1459	1.2075	1.0598	0.0103	 0.2884 (0.0497)	7.386138614
FINNGEN_R6_E4_DM2NOCOMP.results	0.0251	0.0034	1.194	1.2533	1.1339	0.0122	 0.5285 (0.0483)	7.382352941
NEALE2_20003_1140874744.results	0.0103	0.0014	1.0833	1.0914	1.0199	0.0069	 0.218 (0.0758)	7.357142857
NEALE2_6159_8.results	0.0103	0.0014	1.0741	1.072	0.9997	0.0068		7.357142857
FINNGEN_R6_G6_SLEEPAPNO.results	0.0213	0.0029	1.2005	1.2109	1.0965	0.0093	 0.4573 (0.0443)	7.344827586
FINNGEN_R6_FG_DOAAC.results	0.0286	0.0039	1.0957	1.1057	1.0221	0.0083	 0.2089 (0.0789)	7.333333333
NEALE2_2834.results	0.022	0.003	1.0772	1.0948	1.0101	0.0071	 0.1068 (0.0748)	7.333333333
GCST005811.results	0.0623	0.0085	1.0957	1.0909	1.0114	0.0064	 0.125 (0.0707)	7.329411765
NEALE2_5001.results	0.0519	0.0071	1.0957	1.0966	1.0094	0.0068	 0.0975 (0.0704)	7.309859155
FINNGEN_R6_H7_LENS.results	0.019	0.0026	1.1019	1.1343	1.0364	0.0092	 0.2712 (0.0682)	7.307692308
GCST90038648.results	0.0095	0.0013	1.0957	1.1313	1.0397	0.0076	 0.3028 (0.0576)	7.307692308
GCST90000294.results	0.2005	0.0275	1.0618	1.072	1.0011	0.0063	 0.0149 (0.0879)	7.290909091
SAIGE_496_21.results	0.0102	0.0014	1.0527	1.0625	0.9868	0.0067		7.285714286
FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN.results	0.0211	0.0029	1.1683	1.1939	1.0833	0.0091	 0.4295 (0.0472)	7.275862069
FINNGEN_R6_G6_SLEEPAPNO_INCLAVO.results	0.0218	0.003	1.2005	1.213	1.0949	0.0098	 0.4456 (0.0461)	7.266666667
FINNGEN_R6_I9_DISVEINLYMPH.results	0.0247	0.0034	1.2332	1.2905	1.1596	0.0107	 0.5493 (0.0368)	7.264705882
GCST90038602.results	0.0087	0.0012	1.0957	1.1024	1.0212	0.0077	 0.207 (0.0755)	7.25
GCST005185.results	0.0739	0.0102	1.0926	1.0956	1.0213	0.0069	 0.2223 (0.0718)	7.245098039
FINNGEN_R6_DM_PERIPHATHERO.results	0.021	0.0029	1.0802	1.1057	1.0219	0.0077	 0.2077 (0.0728)	7.24137931
FINNGEN_R6_F5_DEPRESSIO.results	0.021	0.0029	1.1619	1.1733	1.0631	0.0086	 0.3643 (0.0498)	7.24137931
FINNGEN_R6_G6_NEURO.results	0.0188	0.0026	1.1843	1.1955	1.0951	0.0095	 0.4864 (0.0487)	7.230769231
FINNGEN_R6_FG_CEREBVASC.results	0.0253	0.0035	1.0772	1.093	1.0168	0.0083	 0.1802 (0.0895)	7.228571429
GCST005068.results	0.3734	0.0517	1.5808	1.2542	1.1847	0.0067	 0.7267 (0.0263)	7.222437137
FINNGEN_R6_J10_RESPIRATORY.results	0.0231	0.0032	1.2168	1.2396	1.1176	0.0098	 0.4909 (0.0408)	7.21875
SAIGE_960_2.results	0.0101	0.0014	1.0926	1.0914	1.0117	0.0068	 0.1278 (0.0746)	7.214285714
SAIGE_174.results	0.0137	0.0019	1.0864	1.1309	1.0235	0.0073	 0.1792 (0.0561)	7.210526316
NEALE2_20002_1138.results	0.0108	0.0015	1.0895	1.0931	1.0158	0.007	 0.1697 (0.0756)	7.2
NEALE2_3393.results	0.0172	0.0024	1.0679	1.0777	1.0028	0.0066	 0.0355 (0.0852)	7.166666667
GCST90038683.results	0.0093	0.0013	1.0957	1.0953	1.0084	0.0073	 0.088 (0.0763)	7.153846154
NEALE2_20003_1140864992.results	0.0093	0.0013	1.0772	1.0729	1.0053	0.0067	 0.0728 (0.0925)	7.153846154
SAIGE_327.results	0.0093	0.0013	1.0679	1.0711	0.9964	0.0068		7.153846154
NEALE2_20152.results	0.0143	0.002	1.0833	1.0802	1.0019	0.0065	 0.0238 (0.0816)	7.15
GCST003044.results	10.6861	1.4947	2.4653	6.2431	1.5047	0.0671	 0.0963 (0.0128)	7.149327624
SAIGE_726_1.results	0.01	0.0014	1.0802	1.0787	1.0015	0.0062	 0.0185 (0.0783)	7.142857143
NEALE2_20491.results	0.0321	0.0045	1.0588	1.067	0.9909	0.0063		7.133333333
FINNGEN_R6_J10_UPPERDIS.results	0.0221	0.0031	1.2038	1.2337	1.1176	0.0097	 0.5033 (0.0415)	7.129032258
FINNGEN_R6_K11_DIVERTIC.results	0.0228	0.0032	1.1523	1.1907	1.0845	0.0087	 0.4432 (0.0459)	7.125
NEALE2_2159.results	0.0114	0.0016	1.0772	1.0821	1.0099	0.0064	 0.12 (0.078)	7.125
NEALE2_4803_11.results	0.0306	0.0043	1.0741	1.0756	1.0046	0.0066	 0.0606 (0.0878)	7.11627907
GCST90038651.results	0.0064	0.0009	1.0466	1.0437	0.9832	0.0061		7.111111111
NEALE2_20523.results	0.032	0.0045	1.0802	1.08	1.007	0.0061	 0.0879 (0.0765)	7.111111111
SAIGE_172_2.results	0.0192	0.0027	1.1082	1.1676	1.0122	0.0083	 0.0726 (0.0497)	7.111111111
FINNGEN_R6_E4_ENDONUTRMET.results	0.0263	0.0037	1.2431	1.3015	1.1627	0.0123	 0.5398 (0.0407)	7.108108108
SAIGE_599.results	0.0071	0.001	0.9174	0.9252	0.8677	0.0055	 NA (mean chi^2 < 1)	7.1
FINNGEN_R6_M13_JOINTOTH.results	0.022	0.0031	1.127	1.1396	1.0529	0.0077	 0.3792 (0.0553)	7.096774194
SAIGE_428.results	0.0078	0.0011	1.0527	1.0554	0.992	0.0061		7.090909091
NEALE2_100010.results	0.0687	0.0097	1.071	1.0708	1.0018	0.0066	 0.0259 (0.0933)	7.082474227
GCST90000292.results	0.2163	0.0306	1.0649	1.0864	1.0097	0.0065	 0.112 (0.0754)	7.068627451
FINNGEN_R6_E4_OBESITYNAS.results	0.0176	0.0025	1.1333	1.1405	1.0514	0.0079	 0.3658 (0.0564)	7.04
FINNGEN_R6_I9_VARICVE.results	0.0288	0.0041	1.2267	1.3063	1.1635	0.012	 0.5339 (0.0393)	7.024390244
FINNGEN_R6_G6_NERPLEX.results	0.0175	0.0025	1.1683	1.177	1.0841	0.0085	 0.4754 (0.0478)	7
GCST90012878.results	0.0133	0.0019	1.0957	1.1321	1.0288	0.0088	 0.2177 (0.0665)	7
SAIGE_728.results	0.0168	0.0024	1.0679	1.127	1.0035	0.008	 0.0274 (0.0633)	7
GCST90014290.results	0.1424	0.0204	1.0679	1.0956	0.9989	0.0067		6.980392157
FINNGEN_R6_J10_ASTHMA_INCLAVO.results	0.0258	0.0037	1.2267	1.2636	1.1266	0.0113	 0.4802 (0.0427)	6.972972973
GCST90016615.results	0.0195	0.0028	1.0466	1.053	0.9861	0.0067		6.964285714
GCST90014287.results	0.0928	0.0134	1.1587	1.1089	1.0471	0.0064	 0.4327 (0.0587)	6.925373134
FINNGEN_R6_J10_COPDNAS_INCLAVO.results	0.018	0.0026	1.1333	1.1466	1.0534	0.008	 0.3647 (0.0549)	6.923076923
FINNGEN_R6_F5_NEUROTIC.results	0.0166	0.0024	1.1333	1.1427	1.0563	0.009	 0.3943 (0.0629)	6.916666667
GCST90038631.results	0.0083	0.0012	1.0466	1.0722	0.9947	0.0074		6.916666667
NEALE2_6157_100.results	0.0373	0.0054	1.0649	1.0604	0.9958	0.0063		6.907407407
NEALE2_20495.results	0.0324	0.0047	1.0741	1.078	1.0029	0.0069	 0.0373 (0.0888)	6.893617021
FINNGEN_R6_J10_ASTHMA_EXMORE.results	0.0372	0.0054	1.2005	1.2401	1.1035	0.0113	 0.4309 (0.047)	6.888888889
FINNGEN_R6_H7_GLAUCOMA.results	0.0179	0.0026	1.1175	1.1488	1.0559	0.0098	 0.3759 (0.0657)	6.884615385
NEALE2_2926.results	0.0468	0.0068	1.0772	1.0834	1.0088	0.0067	 0.1052 (0.0798)	6.882352941
GCST90007530.results	0.0282	0.0041	1.0895	1.0959	1.0199	0.0074	 0.2071 (0.077)	6.87804878
FINNGEN_R6_M13_LOWBACKPAINORANDSCIATICA.results	0.0165	0.0024	1.1207	1.136	1.0487	0.0088	 0.3583 (0.0649)	6.875
FINNGEN_R6_M13_ARTHTROSIS_COX.results	0.0261	0.0038	1.1459	1.1684	1.07	0.0094	 0.4153 (0.0558)	6.868421053
FINNGEN_R6_J10_ASTHMA.results	0.0364	0.0053	1.2038	1.2459	1.1082	0.0114	 0.4402 (0.0463)	6.867924528
NEALE2_1707_2.results	0.0103	0.0015	1.071	1.0763	1.0033	0.007	 0.0427 (0.0911)	6.866666667
GCST000758.results	0.126	0.0184	1.0135	1.135	0.8892	0.0084		6.847826087
NEALE2_4836.results	0.0301	0.0044	1.0649	1.0765	1.007	0.0068	 0.0914 (0.0894)	6.840909091
GCST005523.results	2.3185	0.339	1.6524	2.4285	1.298	0.0548	 0.2086 (0.0384)	6.839233038
FINNGEN_R6_I9_ANGINA.results	0.0212	0.0031	1.1619	1.1919	1.0892	0.01	 0.4648 (0.0523)	6.838709677
FINNGEN_R6_I9_IHD.results	0.0232	0.0034	1.194	1.2398	1.1189	0.0113	 0.4956 (0.0469)	6.823529412
NEALE2_3647.results	0.019	0.0028	1.0618	1.067	1.0027	0.0066	 0.0405 (0.0991)	6.785714286
SAIGE_496_2.results	0.0095	0.0014	1.0557	1.0617	0.9909	0.0068		6.785714286
GCST000964.results	0.2306	0.034	1.2365	1.2966	1.1767	0.0091	 0.5957 (0.0306)	6.782352941
NEALE2_3637.results	0.021	0.0031	1.0618	1.0699	0.9985	0.0061		6.774193548
FINNGEN_R6_R18_PAIN_THROAT_CHEST.results	0.0189	0.0028	1.1459	1.155	1.0699	0.0086	 0.4512 (0.0552)	6.75
NEALE2_22609_2.results	0.0351	0.0052	1.0649	1.071	1.01	0.0065	 0.1402 (0.0911)	6.75
GCST006488.results	0.0593	0.0088	1.0618	1.0578	0.9952	0.0071		6.738636364
GCST90038598.results	0.0074	0.0011	1.0466	1.0694	0.9994	0.0067		6.727272727
FINNGEN_R6_KRA_PSY_ANXIETY.results	0.0168	0.0025	1.1333	1.1471	1.0589	0.0091	 0.4007 (0.0618)	6.72
FINNGEN_R6_R18_ABNORMALITI_BREAT.results	0.0188	0.0028	1.127	1.1354	1.0505	0.0079	 0.3728 (0.0581)	6.714285714
NEALE2_6147_2.results	0.0094	0.0014	1.0926	1.1034	1.0377	0.007	 0.3645 (0.0676)	6.714285714
NEALE2_4283.results	0.0962	0.0144	1.0772	1.0823	1.0119	0.0065	 0.1447 (0.0791)	6.680555556
FINNGEN_R6_MIGRAINE_TRIPTAN.results	0.0167	0.0025	1.1619	1.1905	1.1044	0.0088	 0.5478 (0.0463)	6.68
NEALE2_4260.results	0.0961	0.0144	1.0772	1.0823	1.0121	0.0065	 0.1469 (0.0792)	6.673611111
NEALE2_1418_4.results	0.01	0.0015	1.0741	1.083	1.0126	0.0072	 0.1521 (0.0872)	6.666666667
GCST90025957.results	0.3451	0.0518	1.7648	3.8147	1.2012	0.0262	 0.0715 (0.0093)	6.662162162
NEALE2_3849.results	0.0586	0.0088	1.0772	1.0768	1.007	0.007	 0.0912 (0.0908)	6.659090909
FINNGEN_R6_O15_OEDEM_PROTUR_HYPERT.results	0.0273	0.0041	1.1082	1.113	1.0318	0.0074	 0.281 (0.0652)	6.658536585
NEALE2_22620_1.results	0.0326	0.0049	1.0557	1.0557	0.9979	0.0061		6.653061224
FINNGEN_R6_N14_FEMGENPROL.results	0.0439	0.0066	1.0926	1.1116	1.0319	0.0082	 0.2858 (0.0739)	6.651515152
SAIGE_361.results	0.0093	0.0014	1.0618	1.0719	0.9987	0.0067		6.642857143
FINNGEN_R6_I9_CORATHER.results	0.0239	0.0036	1.1779	1.2295	1.109	0.0117	 0.4749 (0.051)	6.638888889
FINNGEN_R6_I9_ISCHHEART.results	0.0219	0.0033	1.1779	1.2282	1.114	0.0114	 0.4997 (0.05)	6.636363636
GCST90038626.results	0.0073	0.0011	1.0957	1.0743	1.005	0.0067	 0.0669 (0.0898)	6.636363636
FINNGEN_R6_ASTHMA_MODE.results	0.0358	0.0054	1.194	1.2424	1.1081	0.0111	 0.4457 (0.0457)	6.62962963
NEALE2_100001_raw.results	0.0643	0.0097	1.0649	1.0706	1.0046	0.0065	 0.0656 (0.0922)	6.628865979
NEALE2_20002_1113.results	0.0106	0.0016	1.0466	1.0633	0.9882	0.007		6.625
FINNGEN_R6_F5_ALCOHOL_DEPENDENCE.results	0.0152	0.0023	1.0957	1.1105	1.0347	0.0088	 0.314 (0.0795)	6.608695652
NEALE2_4277.results	0.0297	0.0045	1.0618	1.0685	1.0007	0.0064	 0.0098 (0.0931)	6.6
NEALE2_5105_raw.results	0.0659	0.01	1.0802	1.0903	1.004	0.0073	 0.0446 (0.0807)	6.59
NEALE2_20536_1.results	0.0566	0.0086	1.0557	1.0638	1.0003	0.0061	 0.0045 (0.096)	6.581395349
FINNGEN_R6_J10_ASTHMACOPDKELA.results	0.0263	0.004	1.194	1.2497	1.1198	0.0109	 0.4798 (0.0437)	6.575
NEALE2_20548_2.results	0.0335	0.0051	1.071	1.0748	0.9979	0.0066		6.568627451
FINNGEN_R6_I9_MI_STRICT.results	0.021	0.0032	1.1113	1.1556	1.0553	0.0088	 0.355 (0.0565)	6.5625
GCST90014241.results	0.0118	0.0018	1.1144	1.1299	1.0584	0.0063	 0.4495 (0.0489)	6.555555556
NEALE2_20110_6.results	0.0118	0.0018	1.0618	1.0797	1.0033	0.0069	 0.0408 (0.0863)	6.555555556
FINNGEN_R6_K11_INTESTOTH.results	0.0144	0.0022	1.1364	1.1428	1.0676	0.0077	 0.4738 (0.0539)	6.545454545
NEALE2_20002_1474.results	0.0085	0.0013	1.0895	1.0899	1.0299	0.0062	 0.3322 (0.0689)	6.538461538
FINNGEN_R6_PRIM_KNEEARTHROSIS.results	0.0196	0.003	1.1428	1.1757	1.0773	0.0096	 0.4399 (0.0548)	6.533333333
NEALE2_2867_raw.results	0.0398	0.0061	1.0741	1.0785	1.0104	0.0068	 0.1325 (0.0872)	6.524590164
NEALE2_4196_raw.results	0.0287	0.0044	1.0679	1.0695	1.0027	0.007	 0.0395 (0.1003)	6.522727273
GCST005812.results	0.1125	0.0173	1.0618	1.0741	1.0012	0.007	 0.0159 (0.095)	6.502890173
NEALE2_1797.results	0.0091	0.0014	1.0649	1.067	1.0044	0.0058	 0.0662 (0.0861)	6.5
SAIGE_172.results	0.0182	0.0028	1.1019	1.1672	1.0182	0.0086	 0.1085 (0.0511)	6.5
SAIGE_459_9.parquet.results	0.0091	0.0014	1.071	1.0897	1.018	0.0062	 0.2002 (0.0697)	6.5
SAIGE_459_9.results	0.0091	0.0014	1.071	1.0897	1.018	0.0062	 0.2002 (0.0697)	6.5
SAIGE_459.parquet.results	0.0091	0.0014	1.071	1.0888	1.0167	0.0061	 0.1879 (0.0692)	6.5
SAIGE_459.results	0.0091	0.0014	1.071	1.0888	1.0167	0.0061	 0.188 (0.0692)	6.5
FINNGEN_R6_ASTHMA_NAS.results	0.0266	0.0041	1.1082	1.1259	1.0351	0.0083	 0.2784 (0.0662)	6.487804878
NEALE2_20490.results	0.0266	0.0041	1.071	1.0679	1.0063	0.0065	 0.0923 (0.0953)	6.487804878
GCST000679.results	0.169	0.0261	0.9957	1.0248	0.9402	0.0068		6.475095785
GCST90016675.results	0.152	0.0235	1.0957	1.095	1.0184	0.0075	 0.1936 (0.0784)	6.468085106
NEALE2_24007_raw.results	0.0097	0.0015	1.0926	1.1004	1.0381	0.0061	 0.3792 (0.0611)	6.466666667
SAIGE_564_9.results	0.0097	0.0015	1.0772	1.0732	1.0066	0.0062	 0.0896 (0.0844)	6.466666667
GCST90025986.results	0.1157	0.0179	1.3101	1.7806	1.0657	0.0145	 0.0841 (0.0185)	6.463687151
SAIGE_593.results	0.0084	0.0013	1.0772	1.0828	1.0179	0.0066	 0.2158 (0.0794)	6.461538462
GCST90002412.results	0.2203	0.0341	1.6259	3.0058	1.2224	0.0215	 0.1109 (0.0107)	6.460410557
GCST90038684.results	0.0071	0.0011	1.0466	1.0698	1.0022	0.0073	 0.032 (0.1039)	6.454545455
FINNGEN_R6_I9_REVASC.results	0.0264	0.0041	1.1428	1.2138	1.0891	0.0113	 0.417 (0.0528)	6.43902439
FINNGEN_R6_J10_LOWCHRON.results	0.027	0.0042	1.2332	1.2794	1.1358	0.0111	 0.4862 (0.0397)	6.428571429
